DATE	HOUR	STATION	CO	FSP	NO2	NOX	O3	RSP	SO2
2016-03-16	1	TSEUNG KWAN O							
2016-03-16	2	TSEUNG KWAN O							
2016-03-16	3	TSEUNG KWAN O							
2016-03-16	4	TSEUNG KWAN O							
2016-03-16	5	TSEUNG KWAN O							
2016-03-16	6	TSEUNG KWAN O							
2016-03-16	7	TSEUNG KWAN O							
2016-03-16	8	TSEUNG KWAN O							
2016-03-16	9	TSEUNG KWAN O							
2016-03-16	10	TSEUNG KWAN O	75.0	28.0	16.0	21.0	76.0	32.0	2.0
2016-03-16	11	TSEUNG KWAN O	74.0	29.0	15.0	19.0	76.0	32.0	3.0
2016-03-16	12	TSEUNG KWAN O	74.0	28.0	15.0	20.0	78.0	32.0	3.0
2016-03-16	13	TSEUNG KWAN O	73.0	26.0	14.0	18.0	81.0	32.0	3.0
2016-03-16	14	TSEUNG KWAN O	74.0	28.0	16.0	21.0	80.0	36.0	3.0
2016-03-16	15	TSEUNG KWAN O	75.0	32.0	18.0	22.0	81.0	40.0	3.0
2016-03-16	16	TSEUNG KWAN O	74.0	32.0	17.0	22.0	80.0	39.0	2.0
2016-03-16	17	TSEUNG KWAN O	74.0	31.0	22.0	27.0	78.0	39.0	2.0
2016-03-16	18	TSEUNG KWAN O	73.0	29.0	20.0	24.0	79.0	42.0	2.0
2016-03-16	19	TSEUNG KWAN O	74.0	31.0	19.0	25.0	77.0	44.0	2.0
2016-03-16	20	TSEUNG KWAN O	76.0	27.0	20.0	24.0	72.0	44.0	2.0
2016-03-16	21	TSEUNG KWAN O	80.0	27.0	19.0	23.0	70.0	44.0	2.0
2016-03-16	22	TSEUNG KWAN O	83.0	29.0	17.0	21.0	68.0	46.0	2.0
2016-03-16	23	TSEUNG KWAN O	83.0	32.0	16.0	20.0	65.0	46.0	2.0
2016-03-16	24	TSEUNG KWAN O	82.0	31.0	16.0	20.0	66.0	40.0	1.0
2016-03-17	1	TSEUNG KWAN O	78.0	28.0	18.0	22.0	70.0	33.0	1.0
2016-03-17	2	TSEUNG KWAN O	86.0	23.0	12.0	16.0	58.0	28.0	1.0
2016-03-17	3	TSEUNG KWAN O	84.0	22.0	10.0	14.0	63.0	29.0	1.0
2016-03-17	4	TSEUNG KWAN O	77.0	25.0	10.0	13.0	68.0	31.0	1.0
2016-03-17	5	TSEUNG KWAN O	78.0	23.0	9.0	13.0	64.0	29.0	1.0
2016-03-17	6	TSEUNG KWAN O	76.0	21.0	12.0	15.0	61.0	22.0	1.0
2016-03-17	7	TSEUNG KWAN O	80.0	18.0	22.0	27.0	50.0	17.0	1.0
2016-03-17	8	TSEUNG KWAN O	83.0	14.0	30.0	40.0	43.0	17.0	1.0
2016-03-17	9	TSEUNG KWAN O	83.0	12.0	26.0	37.0	43.0	17.0	1.0
2016-03-17	10	TSEUNG KWAN O	83.0	12.0	23.0	30.0	46.0	17.0	1.0
2016-03-17	11	TSEUNG KWAN O	82.0	15.0	23.0	28.0	46.0	18.0	1.0
2016-03-17	12	TSEUNG KWAN O	75.0	20.0	20.0	25.0	62.0	21.0	1.0
2016-03-17	13	TSEUNG KWAN O	79.0	17.0	21.0	26.0	55.0	19.0	1.0
2016-03-17	14	TSEUNG KWAN O	81.0	11.0	23.0	29.0	51.0	16.0	1.0
2016-03-17	15	TSEUNG KWAN O	81.0	8.0	25.0	31.0	49.0	15.0	1.0
2016-03-17	16	TSEUNG KWAN O	76.0	10.0	28.0	34.0	52.0	14.0	2.0
2016-03-17	17	TSEUNG KWAN O	78.0	10.0	31.0	37.0	49.0	12.0	2.0
2016-03-17	18	TSEUNG KWAN O	80.0	14.0	29.0	36.0	54.0	14.0	2.0
2016-03-17	19	TSEUNG KWAN O	82.0	17.0	30.0	36.0	50.0	19.0	2.0
2016-03-17	20	TSEUNG KWAN O	82.0	16.0	28.0	34.0	50.0	22.0	2.0
2016-03-17	21	TSEUNG KWAN O	87.0	15.0	35.0	42.0	41.0	19.0	1.0
2016-03-17	22	TSEUNG KWAN O	84.0	11.0	23.0	27.0	48.0	15.0	2.0
2016-03-17	23	TSEUNG KWAN O	85.0	12.0	29.0	34.0	44.0	20.0	1.0
2016-03-17	24	TSEUNG KWAN O	93.0	19.0	51.0	59.0	21.0	33.0	2.0
2016-03-18	1	TSEUNG KWAN O	79.0	23.0	23.0	26.0	50.0	37.0	2.0
2016-03-18	2	TSEUNG KWAN O	76.0	21.0	16.0	20.0	54.0	34.0	2.0
2016-03-18	3	TSEUNG KWAN O	75.0	19.0	11.0	15.0	59.0	30.0	2.0
2016-03-18	4	TSEUNG KWAN O		20.0				35.0	
2016-03-18	5	TSEUNG KWAN O	72.0	22.0	10.0	13.0	56.0	38.0	2.0
2016-03-18	6	TSEUNG KWAN O	73.0	21.0	11.0	14.0	57.0	37.0	2.0
2016-03-18	7	TSEUNG KWAN O	83.0	17.0	38.0	45.0	25.0	37.0	3.0
2016-03-18	8	TSEUNG KWAN O	95.0	18.0	54.0	99.0	11.0	37.0	3.0
2016-03-18	9	TSEUNG KWAN O	122.0	18.0	72.0	201.0	4.0	41.0	5.0
2016-03-18	10	TSEUNG KWAN O	116.0	19.0	72.0	201.0	7.0	54.0	5.0
2016-03-18	11	TSEUNG KWAN O	86.0	19.0	29.0	38.0	35.0	62.0	3.0
2016-03-18	12	TSEUNG KWAN O	87.0	19.0	28.0	40.0	38.0	45.0	3.0
2016-03-18	13	TSEUNG KWAN O	86.0	30.0	27.0	37.0	43.0	29.0	2.0
2016-03-18	14	TSEUNG KWAN O	88.0		33.0	46.0	39.0	31.0	3.0
2016-03-18	15	TSEUNG KWAN O	80.0		26.0	32.0	47.0	37.0	2.0
2016-03-18	16	TSEUNG KWAN O	81.0	31.0	33.0	48.0	40.0	30.0	2.0
2016-03-18	17	TSEUNG KWAN O	78.0	21.0	29.0	34.0	44.0	31.0	3.0
2016-03-18	18	TSEUNG KWAN O	78.0	28.0	31.0	35.0	42.0	40.0	3.0
2016-03-18	19	TSEUNG KWAN O	80.0	29.0	27.0	33.0	44.0	37.0	3.0
2016-03-18	20	TSEUNG KWAN O	85.0	27.0	34.0	40.0	32.0	32.0	2.0
2016-03-18	21	TSEUNG KWAN O	88.0	22.0	41.0	48.0	24.0	27.0	3.0
2016-03-18	22	TSEUNG KWAN O	90.0	18.0	41.0	51.0	20.0	28.0	3.0
2016-03-18	23	TSEUNG KWAN O	96.0	15.0	38.0	51.0	20.0	27.0	3.0
2016-03-18	24	TSEUNG KWAN O	82.0	16.0	23.0	27.0	38.0	26.0	2.0
2016-03-19	1	TSEUNG KWAN O	91.0	20.0	36.0	43.0	21.0	29.0	2.0
2016-03-19	2	TSEUNG KWAN O	124.0	16.0	47.0	114.0	4.0	29.0	3.0
2016-03-19	3	TSEUNG KWAN O	132.0	16.0	44.0	114.0	2.0	31.0	3.0
2016-03-19	4	TSEUNG KWAN O	141.0	17.0	36.0	132.0	2.0	28.0	4.0
2016-03-19	5	TSEUNG KWAN O	139.0	16.0	33.0	139.0	2.0	28.0	4.0
2016-03-19	6	TSEUNG KWAN O	129.0	17.0	30.0	123.0	2.0	31.0	3.0
2016-03-19	7	TSEUNG KWAN O	126.0	18.0	35.0	164.0	2.0	31.0	4.0
2016-03-19	8	TSEUNG KWAN O	160.0	17.0	42.0	273.0	2.0	29.0	6.0
